Påloggings-SID;;Rolle-ID;Selskapsnavn;Påloggings-ID;Rollenavn
S-1-5-21-1941010518-169161871-1930522446-1124;S-1-5-21-1941010518-169161871-1930522446-1124;ALLE;;S-1-5-21-1941010518-169161871-1930522446-1124;Alle brukere
S-1-5-21-1941010518-169161871-1930522446-1124;S-1-5-21-1941010518-169161871-1930522446-1124;O-REMITTERING;;S-1-5-21-1941010518-169161871-1930522446-1124;OSO-till.:remittering
S-1-5-21-1941010518-169161871-1930522446-1124;S-1-5-21-1941010518-169161871-1930522446-1124;OSO-TILLEGG;;S-1-5-21-1941010518-169161871-1930522446-1124;OSO-tillegg
S-1-5-21-1941010518-169161871-1930522446-1124;S-1-5-21-1941010518-169161871-1930522446-1124;SUPER (DATA);;S-1-5-21-1941010518-169161871-1930522446-1124;Superbruker av data
S-1-5-21-1941010518-169161871-1930522446-1127;S-1-5-21-1941010518-169161871-1930522446-1127;ALLE;;S-1-5-21-1941010518-169161871-1930522446-1127;Alle brukere
S-1-5-21-1941010518-169161871-1930522446-1127;S-1-5-21-1941010518-169161871-1930522446-1127;SUPER (DATA);;S-1-5-21-1941010518-169161871-1930522446-1127;Superbruker av data
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;ALLE;;S-1-5-21-1941010518-169161871-1930522446-1137;Alle brukere
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;EDI;;S-1-5-21-1941010518-169161871-1930522446-1137;Automatisk innlesing av EDI
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;FRIGI DOKUMENT;;S-1-5-21-1941010518-169161871-1930522446-1137;Frigi dokumenter
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;KJØP-BEST.FORSLAG;;S-1-5-21-1941010518-169161871-1930522446-1137;Opprett poster på best.forslag
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;KJØP-BOKFØRT R/F/S/K;;S-1-5-21-1941010518-169161871-1930522446-1137;Bokførte mottak osv.
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;KJØP-LEVERANDØR;;S-1-5-21-1941010518-169161871-1930522446-1137;Les leverandører og poster
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;KJØP-T/O/F/R/K;;S-1-5-21-1941010518-169161871-1930522446-1137;Opprett bestillinger osv.
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;KJØP-T/O/F/R/K, BOKF;;S-1-5-21-1941010518-169161871-1930522446-1137;Bokfør bestillinger osv.
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAG-BOKF OVERFØRING;;S-1-5-21-1941010518-169161871-1930522446-1137;Les bokførte overføringsordrer
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAG-OVERFØR;;S-1-5-21-1941010518-169161871-1930522446-1137;Opprett overføringsordrer
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAG-VARE/STYKKL;;S-1-5-21-1941010518-169161871-1930522446-1137;Les vare-/stykkl-/LFE-poster
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAG-VAREJNL;;S-1-5-21-1941010518-169161871-1930522446-1137;Les varejournaler
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAG-VAREKLD;;S-1-5-21-1941010518-169161871-1930522446-1137;Opprett poster i varekladder
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAG-VAREKLD, BOKF;;S-1-5-21-1941010518-169161871-1930522446-1137;Bokfør varekladder
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAGERANALYSE;;S-1-5-21-1941010518-169161871-1930522446-1137;Les rapp., S/K/lag.analyse
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LAGERBUDSJETT;;S-1-5-21-1941010518-169161871-1930522446-1137;Les salgs-/kjøpsbudsjetter
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;LS-BOKF PLA/PLU;;S-1-5-21-1941010518-169161871-1930522446-1137;Les bokførte plasseringer osv.
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;O-BOKF S-FAKT;;S-1-5-21-1941010518-169161871-1930522446-1137;OSO-tillegg - Bokf.salgsfaktur
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;O-BOKF S-FLGS;;S-1-5-21-1941010518-169161871-1930522446-1137;OSO-tillegg - Bokf.salg-flg.s
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;O-BOKF-KJOP-MOTTAK;;S-1-5-21-1941010518-169161871-1930522446-1137;OSO-tillegg - Bokf.kjøp-mottak
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;O-KJOP-LES;;S-1-5-21-1941010518-169161871-1930522446-1137;OSO-till.(lese: foresp,best)
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;O-KJOP-SKRIV;;S-1-5-21-1941010518-169161871-1930522446-1137;OSO-till.(skrive:foresp,best)
S-1-5-21-1941010518-169161871-1930522446-1137;S-1-5-21-1941010518-169161871-1930522446-1137;O-SALG-LES;;S-1-5-21-1941010518-169161871-1930522446-1137;OSO-till.:lese (tilb, s.o.)
